C1,C2,C3,C4,r1_sing,r2_sing,a1_sing,a2_sing,r1,r2,a11,a22,a12,a21,N1_equilibrium,N2_equilibrium,outcome_single,outcome_pair
-1e-06,0.5,-1.08e-05,3.5,[2.],[0.28571429],[-2.71828183e-06],[-2.93574437e-05],2.0000000004595537,18.679686344267456,-2.7182818290836436e-06,-2.6737464193818172e+23,-2.5e-05,-2.5e-05,735758.8823428847,1.0685915598585354e-24,False,True
-1e-06,0.5918367346938775,-1.08e-05,3.5,[1.68965517],[0.28571429],[-2.71828183e-06],[-2.93574437e-05],1.6896551724277815,15.82544930069523,-2.7182818284815497e-06,-1.2262875603857533e+19,-2.5e-05,-2.5e-05,621589.4006000232,2.3299126153149025e-20,False,True
-1e-06,0.6836734693877551,-1.08e-05,3.5,[1.46268657],[0.28571429],[-2.71828183e-06],[-2.93574437e-05],1.4626865671487312,13.738022209140343,-2.7182818284303364e-06,-8234535144215230.0,-2.5e-05,-2.5e-05,538092.3169373336,3.4697075269357214e-17,False,True
-1e-06,0.7755102040816326,-1.08e-05,3.5,[1.28947368],[0.28571429],[-2.71828183e-06],[-2.93574437e-05],1.2894736842016532,12.144985744425746,-2.71828182844034e-06,-31201449926144.547,-2.5e-05,-2.5e-05,474370.8583526494,9.157083606236616e-15,False,True
-1e-06,0.8673469387755102,-1.08e-05,3.5,[1.15294118],[0.28571429],[-2.71828183e-06],[-2.93574437e-05],0.04786633013432862,1.133718975048343,-1.0423905851732051e-06,-0.0005710989840874227,-2.5e-05,-2.5e-05,33900.33636830527,501.15754679210147,False,False
-1e-06,0.9591836734693877,-1.08e-05,3.5,[1.04255319],[0.28571429],[-2.71828183e-06],[-2.93574437e-05],0.0,0.0,-1e-06,-1.08e-05,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-1e-06,1.0510204081632653,-1.08e-05,3.5,[0.95145631],[0.28571429],[-2.71828183e-06],[-2.93574437e-05],0.0,0.0,-1e-06,-1.08e-05,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-1e-06,1.1428571428571428,-1.08e-05,3.5,[0.875],[0.28571429],[-2.71828183e-06],[-2.93574437e-05],0.0,0.0,-1e-06,-1.08e-05,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-1e-06,1.2346938775510203,-1.08e-05,3.5,[0.80991736],[0.28571429],[-2.71828183e-06],[-2.93574437e-05],0.0,0.0,-1e-06,-1.08e-05,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-1e-06,1.3265306122448979,-1.08e-05,3.5,[0.75384615],[0.28571429],[-2.71828183e-06],[-2.93574437e-05],0.0,0.0,-1e-06,-1.08e-05,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
