"rep","mes","tick_extinct"
"1095",68,13,50002
"1096",69,13,50002
"1097",70,13,50002
"1098",71,13,50002
"1099",72,13,50002
"1100",73,13,50002
"1101",74,13,50002
"1102",75,13,50002
"1103",76,13,50002
"1104",77,13,50002
"1105",78,13,50002
"1106",80,13,50002
"1107",82,13,50002
"1108",83,13,50002
"1109",84,13,50002
"1110",85,13,50002
"1111",86,13,50002
"1112",88,13,50002
"1113",89,13,50002
"1114",90,13,50002
"1115",91,13,50002
"1116",93,13,50002
"1117",94,13,50002
"1118",95,13,50002
"1119",96,13,50002
"1120",97,13,50002
"1121",98,13,50002
"1122",99,13,50002
"1123",0,14,50002
"1124",1,14,50002
"1125",2,14,50002
"1126",3,14,50002
"1127",5,14,50002
"1128",7,14,50002
"1129",8,14,50002
"1130",9,14,50002
"1131",10,14,50002
"1132",11,14,50002
"1133",12,14,50002
"1134",13,14,50002
"1135",14,14,50002
"1136",15,14,50002
"1137",16,14,50002
"1138",18,14,50002
"1139",19,14,50002
"1140",21,14,50002
"1141",22,14,50002
"1142",23,14,50002
"1143",24,14,50002
"1144",25,14,50002
"1145",26,14,50002
"1146",27,14,50002
"1147",28,14,50002
"1148",29,14,50002
"1149",30,14,50002
"1150",31,14,50002
"1151",32,14,50002
"1152",33,14,50002
"1153",34,14,50002
"1154",35,14,50002
"1155",36,14,50002
"1156",37,14,50002
"1157",38,14,50002
"1158",39,14,50002
"1159",40,14,50002
"1160",41,14,50002
"1161",42,14,50002
"1162",43,14,50002
"1163",44,14,50002
"1164",45,14,50002
"1165",46,14,50002
"1166",47,14,50002
"1167",49,14,50002
"1168",50,14,50002
"1169",52,14,50002
"1170",53,14,50002
"1171",54,14,50002
"1172",56,14,50002
"1173",57,14,50002
"1174",58,14,50002
"1175",59,14,50002
"1176",60,14,50002
"1177",61,14,50002
"1178",62,14,50002
"1179",63,14,50002
"1180",64,14,50002
"1181",65,14,50002
"1182",66,14,50002
"1183",68,14,50002
"1184",69,14,50002
"1185",70,14,50002
"1186",71,14,50002
"1187",72,14,50002
"1188",73,14,50002
"1189",74,14,50002
"1190",75,14,50002
"1191",76,14,50002
"1192",77,14,50002
"1193",78,14,50002
"1194",80,14,50002
"1195",82,14,50002
"1196",83,14,50002
"1197",84,14,50002
"1198",87,14,50002
"1199",88,14,50002
"1200",89,14,50002
"1201",90,14,50002
"1202",91,14,50002
"1203",93,14,50002
"1204",94,14,50002
"1205",95,14,50002
"1206",96,14,50002
"1207",97,14,50002
"1208",98,14,50002
"1209",99,14,50002
"1210",0,15,50002
"1211",1,15,50002
"1212",2,15,50002
"1213",3,15,50002
"1214",4,15,50002
"1215",5,15,50002
"1216",7,15,50002
"1217",8,15,50002
"1218",9,15,50002
"1219",10,15,50002
"1220",11,15,50002
"1221",12,15,50002
"1222",13,15,50002
"1223",14,15,50002
"1224",15,15,50002
"1225",16,15,50002
"1226",18,15,50002
"1227",19,15,50002
"1228",21,15,50002
"1229",22,15,50002
"1230",23,15,50002
"1231",25,15,50002
"1232",26,15,50002
"1233",28,15,50002
"1234",29,15,50002
"1235",30,15,50002
"1236",31,15,50002
"1237",32,15,50002
"1238",33,15,50002
"1239",34,15,50002
"1240",35,15,50002
"1241",36,15,50002
"1242",37,15,50002
"1243",39,15,50002
"1244",40,15,50002
"1245",42,15,50002
"1246",43,15,50002
"1247",44,15,50002
"1248",45,15,50002
"1249",46,15,50002
"1250",47,15,50002
"1251",48,15,50002
"1252",49,15,50002
"1253",50,15,50002
"1254",51,15,50002
"1255",52,15,50002
"1256",53,15,50002
"1257",54,15,50002
"1258",56,15,50002
"1259",57,15,50002
"1260",58,15,50002
"1261",59,15,50002
"1262",60,15,50002
"1263",61,15,50002
"1264",62,15,50002
"1265",63,15,50002
"1266",64,15,50002
"1267",65,15,50002
"1268",66,15,50002
"1269",68,15,50002
"1270",69,15,50002
"1271",70,15,50002
"1272",71,15,50002
"1273",72,15,50002
"1274",73,15,50002
"1275",74,15,50002
"1276",75,15,50002
"1277",76,15,50002
"1278",77,15,50002
"1279",78,15,50002
"1280",80,15,50002
"1281",81,15,50002
"1282",82,15,50002
"1283",83,15,50002
"1284",84,15,50002
"1285",86,15,50002
"1286",88,15,50002
"1287",89,15,50002
"1288",90,15,50002
"1289",91,15,50002
"1290",92,15,50002
"1291",93,15,50002
"1292",94,15,50002
"1293",95,15,50002
"1294",96,15,50002
"1295",97,15,50002
"1296",98,15,50002
"1297",99,15,50002
"1298",0,16,50002
"1299",1,16,50002
"1300",2,16,50002
"1301",3,16,50002
"1302",4,16,50002
"1303",5,16,50002
"1304",7,16,50002
"1305",8,16,50002
"1306",9,16,50002
"1307",10,16,50002
"1308",11,16,50002
"1309",12,16,50002
"1310",13,16,50002
"1311",14,16,50002
"1312",15,16,50002
"1313",16,16,50002
"1314",18,16,50002
"1315",19,16,50002
"1316",20,16,50002
"1317",21,16,50002
"1318",22,16,50002
"1319",23,16,50002
"1320",24,16,50002
"1321",25,16,50002
"1322",26,16,50002
"1323",28,16,50002
"1324",29,16,50002
"1325",30,16,50002
"1326",31,16,50002
"1327",32,16,50002
"1328",33,16,50002
"1329",34,16,50002
"1330",35,16,50002
"1331",36,16,50002
"1332",37,16,50002
"1333",39,16,50002
"1334",40,16,50002
"1335",41,16,50002
"1336",42,16,50002
"1337",43,16,50002
"1338",44,16,50002
"1339",45,16,50002
"1340",46,16,50002
"1341",47,16,50002
"1342",48,16,50002
"1343",49,16,50002
"1344",50,16,50002
"1345",52,16,50002
"1346",53,16,50002
"1347",54,16,50002
"1348",56,16,50002
"1349",57,16,50002
"1350",58,16,50002
"1351",59,16,50002
"1352",60,16,50002
"1353",61,16,50002
"1354",62,16,50002
"1355",63,16,50002
"1356",64,16,50002
"1357",65,16,50002
"1358",66,16,50002
"1359",68,16,50002
"1360",69,16,50002
"1361",70,16,50002
"1362",71,16,50002
"1363",72,16,50002
"1364",73,16,50002
"1365",74,16,50002
"1366",75,16,50002
"1367",76,16,50002
"1368",77,16,50002
"1369",78,16,50002
"1370",80,16,50002
"1371",81,16,50002
"1372",82,16,50002
"1373",83,16,50002
"1374",84,16,50002
"1375",88,16,50002
"1376",89,16,50002
"1377",90,16,50002
"1378",91,16,50002
"1379",93,16,50002
"1380",94,16,50002
"1381",95,16,50002
"1382",96,16,50002
"1383",97,16,50002
"1384",98,16,50002
"1385",99,16,50002
"1386",0,17,50002
"1387",1,17,50002
"1388",2,17,50002
"1389",3,17,50002
"1390",4,17,50002
"1391",5,17,50002
"1392",6,17,50002
"1393",7,17,50002
"1394",8,17,50002
"1395",9,17,50002
"1396",10,17,50002
"1397",11,17,50002
"1398",12,17,50002
"1399",13,17,50002
"1400",14,17,50002
"1401",15,17,50002
"1402",16,17,50002
"1403",17,17,50002
"1404",18,17,50002
"1405",19,17,50002
"1406",20,17,50002
"1407",21,17,50002
"1408",22,17,50002
"1409",23,17,50002
"1410",25,17,50002
"1411",26,17,50002
"1412",27,17,50002
"1413",28,17,50002
"1414",29,17,50002
"1415",30,17,50002
"1416",31,17,50002
"1417",32,17,50002
"1418",33,17,50002
"1419",34,17,50002
"1420",35,17,50002
"1421",36,17,50002
"1422",37,17,50002
"1423",39,17,50002
"1424",40,17,50002
"1425",42,17,50002
"1426",43,17,50002
"1427",44,17,50002
"1428",45,17,50002
"1429",46,17,50002
"1430",47,17,50002
"1431",49,17,50002
"1432",50,17,50002
"1433",52,17,50002
"1434",53,17,50002
"1435",54,17,50002
"1436",56,17,50002
"1437",58,17,50002
"1438",59,17,50002
"1439",60,17,50002
"1440",62,17,50002
"1441",63,17,50002
"1442",64,17,50002
"1443",65,17,50002
"1444",66,17,50002
"1445",68,17,50002
"1446",69,17,50002
"1447",70,17,50002
"1448",71,17,50002
"1449",72,17,50002
"1450",73,17,50002
"1451",74,17,50002
"1452",75,17,50002
"1453",76,17,50002
"1454",77,17,50002
"1455",78,17,50002
"1456",80,17,50002
"1457",82,17,50002
"1458",83,17,50002
"1459",84,17,50002
"1460",88,17,50002
"1461",89,17,50002
"1462",90,17,50002
"1463",91,17,50002
"1464",93,17,50002
"1465",94,17,50002
"1466",95,17,50002
"1467",96,17,50002
"1468",97,17,50002
"1469",99,17,50002
"1470",0,18,50002
"1471",1,18,50002
"1472",2,18,50002
"1473",3,18,50002
"1474",5,18,50002
"1475",7,18,50002
"1476",8,18,50002
"1477",9,18,50002
"1478",10,18,50002
"1479",11,18,50002
"1480",12,18,50002
"1481",13,18,50002
"1482",14,18,50002
"1483",15,18,50002
"1484",16,18,50002
"1485",18,18,50002
"1486",19,18,50002
"1487",21,18,50002
"1488",22,18,50002
"1489",23,18,50002
"1490",25,18,50002
"1491",26,18,50002
"1492",27,18,50002
"1493",29,18,50002
"1494",30,18,50002
"1495",31,18,50002
"1496",32,18,50002
"1497",33,18,50002
"1498",34,18,50002
"1499",35,18,50002
"1500",36,18,50002
"1501",37,18,50002
"1502",40,18,50002
"1503",42,18,50002
"1504",43,18,50002
"1505",44,18,50002
"1506",45,18,50002
"1507",46,18,50002
"1508",47,18,50002
"1509",49,18,50002
"1510",50,18,50002
"1511",51,18,50002
"1512",52,18,50002
"1513",53,18,50002
"1514",54,18,50002
"1515",56,18,50002
"1516",57,18,50002
"1517",58,18,50002
"1518",59,18,50002
"1519",60,18,50002
"1520",61,18,50002
"1521",62,18,50002
"1522",63,18,50002
"1523",64,18,50002
"1524",65,18,50002
"1525",66,18,50002
"1526",68,18,50002
"1527",69,18,50002
"1528",70,18,50002
"1529",71,18,50002
"1530",72,18,50002
"1531",73,18,50002
"1532",74,18,50002
"1533",75,18,50002
"1534",76,18,50002
"1535",78,18,50002
"1536",80,18,50002
"1537",82,18,50002
"1538",83,18,50002
"1539",84,18,50002
"1540",86,18,50002
"1541",88,18,50002
"1542",89,18,50002
"1543",90,18,50002
"1544",91,18,50002
"1545",93,18,50002
"1546",94,18,50002
"1547",95,18,50002
"1548",96,18,50002
"1549",97,18,50002
"1550",98,18,50002
"1551",99,18,50002
"1552",0,19,50002
"1553",1,19,50002
"1554",2,19,50002
"1555",3,19,50002
"1556",5,19,50002
"1557",6,19,50002
"1558",7,19,50002
"1559",8,19,50002
"1560",9,19,50002
"1561",10,19,50002
"1562",11,19,50002
"1563",12,19,50002
"1564",13,19,50002
"1565",14,19,50002
"1566",15,19,50002
"1567",16,19,50002
"1568",19,19,50002
"1569",21,19,50002
"1570",22,19,50002
"1571",23,19,50002
"1572",24,19,50002
"1573",25,19,50002
"1574",26,19,50002
"1575",27,19,50002
"1576",28,19,50002
"1577",29,19,50002
"1578",30,19,50002
"1579",31,19,50002
"1580",32,19,50002
"1581",33,19,50002
"1582",34,19,50002
"1583",35,19,50002
"1584",36,19,50002
"1585",37,19,50002
"1586",39,19,50002
"1587",40,19,50002
"1588",42,19,50002
"1589",43,19,50002
"1590",44,19,50002
"1591",45,19,50002
"1592",46,19,50002
"1593",47,19,50002
"1594",49,19,50002
"1595",50,19,50002
"1596",52,19,50002
"1597",53,19,50002
"1598",54,19,50002
"1599",55,19,50002
"1600",56,19,50002
"1601",57,19,50002
"1602",58,19,50002
"1603",59,19,50002
"1604",60,19,50002
"1605",61,19,50002
"1606",62,19,50002
"1607",63,19,50002
"1608",64,19,50002
"1609",65,19,50002
"1610",66,19,50002
"1611",68,19,50002
"1612",69,19,50002
"1613",70,19,50002
"1614",71,19,50002
"1615",72,19,50002
"1616",73,19,50002
"1617",74,19,50002
"1618",75,19,50002
"1619",76,19,50002
"1620",77,19,50002
"1621",78,19,50002
"1622",80,19,50002
"1623",82,19,50002
"1624",83,19,50002
"1625",84,19,50002
"1626",87,19,50002
"1627",88,19,50002
"1628",89,19,50002
"1629",90,19,50002
"1630",91,19,50002
"1631",93,19,50002
"1632",94,19,50002
"1633",95,19,50002
"1634",96,19,50002
"1635",97,19,50002
"1636",98,19,50002
"1637",99,19,50002
"1638",0,20,50002
"1639",1,20,50002
"1640",2,20,50002
"1641",3,20,50002
"1642",5,20,50002
"1643",7,20,50002
"1644",8,20,50002
"1645",9,20,50002
"1646",10,20,50002
"1647",11,20,50002
"1648",12,20,50002
"1649",13,20,50002
"1650",14,20,50002
"1651",15,20,50002
"1652",16,20,50002
"1653",19,20,50002
"1654",21,20,50002
"1655",22,20,50002
"1656",23,20,50002
"1657",25,20,50002
"1658",26,20,50002
"1659",27,20,50002
"1660",28,20,50002
"1661",29,20,50002
"1662",30,20,50002
"1663",31,20,50002
"1664",32,20,50002
"1665",33,20,50002
"1666",34,20,50002
"1667",35,20,50002
"1668",36,20,50002
"1669",37,20,50002
"1670",39,20,50002
"1671",40,20,50002
"1672",41,20,50002
"1673",42,20,50002
"1674",43,20,50002
"1675",44,20,50002
"1676",45,20,50002
"1677",46,20,50002
"1678",47,20,50002
"1679",49,20,50002
"1680",50,20,50002
"1681",51,20,50002
"1682",52,20,50002
"1683",53,20,50002
"1684",54,20,50002
"1685",56,20,50002
"1686",57,20,50002
"1687",58,20,50002
"1688",59,20,50002
"1689",60,20,50002
"1690",61,20,50002
"1691",62,20,50002
"1692",63,20,50002
"1693",64,20,50002
"1694",65,20,50002
"1695",66,20,50002
"1696",68,20,50002
"1697",69,20,50002
"1698",70,20,50002
"1699",71,20,50002
"1700",72,20,50002
"1701",73,20,50002
"1702",74,20,50002
"1703",75,20,50002
"1704",76,20,50002
"1705",77,20,50002
"1706",78,20,50002
"1707",80,20,50002
"1708",81,20,50002
"1709",82,20,50002
"1710",83,20,50002
"1711",84,20,50002
"1712",86,20,50002
"1713",88,20,50002
"1714",89,20,50002
"1715",90,20,50002
"1716",91,20,50002
"1717",92,20,50002
"1718",93,20,50002
"1719",94,20,50002
"1720",95,20,50002
"1721",96,20,50002
"1722",97,20,50002
"1723",99,20,50002
"1724",0,21,50002
"1725",1,21,50002
"1726",2,21,50002
"1727",3,21,50002
"1728",5,21,50002
"1729",7,21,50002
"1730",8,21,50002
"1731",9,21,50002
"1732",10,21,50002
"1733",11,21,50002
"1734",12,21,50002
"1735",13,21,50002
"1736",14,21,50002
"1737",15,21,50002
"1738",16,21,50002
"1739",19,21,50002
"1740",21,21,50002
"1741",22,21,50002
"1742",23,21,50002
"1743",24,21,50002
"1744",25,21,50002
"1745",26,21,50002
"1746",28,21,50002
"1747",29,21,50002
"1748",30,21,50002
"1749",31,21,50002
"1750",32,21,50002
"1751",33,21,50002
"1752",34,21,50002
"1753",35,21,50002
"1754",36,21,50002
"1755",37,21,50002
"1756",38,21,50002
"1757",39,21,50002
"1758",40,21,50002
"1759",41,21,50002
"1760",42,21,50002
"1761",43,21,50002
"1762",44,21,50002
"1763",45,21,50002
"1764",46,21,50002
"1765",47,21,50002
"1766",48,21,50002
"1767",49,21,50002
"1768",50,21,50002
"1769",51,21,50002
"1770",52,21,50002
"1771",53,21,50002
"1772",54,21,50002
"1773",56,21,50002
"1774",57,21,50002
"1775",58,21,50002
"1776",59,21,50002
"1777",60,21,50002
"1778",62,21,50002
"1779",63,21,50002
"1780",64,21,50002
"1781",65,21,50002
"1782",66,21,50002
"1783",68,21,50002
"1784",69,21,50002
"1785",70,21,50002
"1786",71,21,50002
"1787",72,21,50002
"1788",73,21,50002
"1789",74,21,50002
"1790",75,21,50002
"1791",76,21,50002
"1792",77,21,50002
"1793",78,21,50002
"1794",80,21,50002
"1795",81,21,50002
"1796",82,21,50002
"1797",83,21,50002
"1798",84,21,50002
"1799",88,21,50002
"1800",89,21,50002
"1801",91,21,50002
"1802",93,21,50002
"1803",94,21,50002
"1804",95,21,50002
"1805",96,21,50002
"1806",97,21,50002
"1807",98,21,50002
"1808",99,21,50002
"1809",0,22,50002
"1810",1,22,50002
"1811",2,22,50002
"1812",3,22,50002
"1813",5,22,50002
"1814",6,22,50002
"1815",7,22,50002
"1816",8,22,50002
"1817",9,22,50002
"1818",10,22,50002
"1819",11,22,50002
"1820",12,22,50002
"1821",13,22,50002
"1822",14,22,50002
"1823",15,22,50002
"1824",16,22,50002
"1825",18,22,50002
"1826",19,22,50002
"1827",20,22,50002
"1828",21,22,50002
"1829",22,22,50002
"1830",23,22,50002
"1831",24,22,50002
"1832",25,22,50002
"1833",26,22,50002
"1834",27,22,50002
"1835",29,22,50002
"1836",30,22,50002
"1837",31,22,50002
"1838",32,22,50002
"1839",33,22,50002
"1840",34,22,50002
"1841",35,22,50002
"1842",36,22,50002
"1843",37,22,50002
"1844",40,22,50002
"1845",41,22,50002
"1846",42,22,50002
"1847",43,22,50002
"1848",44,22,50002
"1849",45,22,50002
"1850",46,22,50002
"1851",47,22,50002
"1852",48,22,50002
"1853",49,22,50002
"1854",50,22,50002
"1855",52,22,50002
"1856",53,22,50002
"1857",54,22,50002
"1858",56,22,50002
"1859",58,22,50002
"1860",59,22,50002
"1861",60,22,50002
"1862",61,22,50002
"1863",62,22,50002
"1864",63,22,50002
"1865",64,22,50002
"1866",65,22,50002
"1867",66,22,50002
"1868",68,22,50002
"1869",69,22,50002
"1870",70,22,50002
"1871",71,22,50002
"1872",72,22,50002
"1873",73,22,50002
"1874",74,22,50002
"1875",75,22,50002
"1876",76,22,50002
"1877",77,22,50002
"1878",78,22,50002
"1879",80,22,50002
"1880",81,22,50002
"1881",82,22,50002
"1882",83,22,50002
"1883",84,22,50002
"1884",85,22,50002
"1885",86,22,50002
"1886",88,22,50002
"1887",89,22,50002
"1888",90,22,50002
"1889",91,22,50002
"1890",93,22,50002
"1891",94,22,50002
"1892",95,22,50002
"1893",96,22,50002
"1894",97,22,50002
"1895",98,22,50002
"1896",99,22,50002
"1897",0,23,50002
"1898",1,23,50002
"1899",2,23,50002
"1900",3,23,50002
"1901",5,23,50002
"1902",7,23,50002
"1903",8,23,50002
"1904",9,23,50002
"1905",10,23,50002
"1906",11,23,50002
"1907",12,23,50002
"1908",13,23,50002
"1909",14,23,50002
"1910",15,23,50002
"1911",16,23,50002
"1912",18,23,50002
"1913",19,23,50002
"1914",21,23,50002
"1915",22,23,50002
"1916",23,23,50002
"1917",24,23,50002
"1918",25,23,50002
"1919",26,23,50002
"1920",28,23,50002
"1921",29,23,50002
"1922",30,23,50002
"1923",31,23,50002
"1924",32,23,50002
"1925",33,23,50002
"1926",34,23,50002
"1927",35,23,50002
"1928",36,23,50002
"1929",37,23,50002
"1930",38,23,50002
"1931",39,23,50002
"1932",40,23,50002
"1933",42,23,50002
"1934",43,23,50002
"1935",44,23,50002
"1936",45,23,50002
"1937",46,23,50002
"1938",47,23,50002
"1939",49,23,50002
"1940",50,23,50002
"1941",52,23,50002
"1942",53,23,50002
"1943",54,23,50002
"1944",56,23,50002
"1945",57,23,50002
"1946",58,23,50002
"1947",59,23,50002
"1948",60,23,50002
"1949",61,23,50002
"1950",62,23,50002
"1951",63,23,50002
"1952",64,23,50002
"1953",65,23,50002
"1954",66,23,50002
"1955",68,23,50002
"1956",69,23,50002
"1957",70,23,50002
"1958",71,23,50002
"1959",72,23,50002
"1960",73,23,50002
"1961",74,23,50002
"1962",75,23,50002
"1963",76,23,50002
"1964",77,23,50002
"1965",78,23,50002
"1966",79,23,50002
"1967",80,23,50002
"1968",81,23,50002
"1969",82,23,50002
"1970",83,23,50002
"1971",84,23,50002
"1972",85,23,50002
"1973",86,23,50002
"1974",87,23,50002
"1975",88,23,50002
"1976",89,23,50002
"1977",90,23,50002
"1978",91,23,50002
"1979",93,23,50002
"1980",94,23,50002
"1981",95,23,50002
"1982",96,23,50002
"1983",97,23,50002
"1984",98,23,50002
"1985",99,23,50002
"1986",0,24,50002
"1987",1,24,50002
"1988",2,24,50002
"1989",3,24,50002
"1990",5,24,50002
"1991",7,24,50002
"1992",8,24,50002
"1993",9,24,50002
"1994",10,24,50002
"1995",11,24,50002
"1996",12,24,50002
"1997",13,24,50002
"1998",14,24,50002
"1999",15,24,50002
"2000",16,24,50002
"2001",18,24,50002
"2002",19,24,50002
"2003",20,24,50002
"2004",21,24,50002
"2005",22,24,50002
"2006",23,24,50002
"2007",25,24,50002
"2008",26,24,50002
"2009",27,24,50002
"2010",28,24,50002
"2011",29,24,50002
"2012",30,24,50002
"2013",31,24,50002
"2014",32,24,50002
"2015",33,24,50002
"2016",34,24,50002
"2017",35,24,50002
"2018",36,24,50002
"2019",37,24,50002
"2020",38,24,50002
"2021",40,24,50002
"2022",42,24,50002
"2023",43,24,50002
"2024",44,24,50002
"2025",45,24,50002
"2026",46,24,50002
"2027",47,24,50002
"2028",48,24,50002
"2029",49,24,50002
"2030",50,24,50002
"2031",52,24,50002
"2032",53,24,50002
"2033",54,24,50002
"2034",55,24,50002
"2035",56,24,50002
"2036",58,24,50002
"2037",59,24,50002
"2038",60,24,50002
"2039",61,24,50002
"2040",62,24,50002
"2041",63,24,50002
"2042",64,24,50002
"2043",65,24,50002
"2044",66,24,50002
"2045",68,24,50002
"2046",69,24,50002
"2047",70,24,50002
"2048",71,24,50002
"2049",72,24,50002
"2050",73,24,50002
"2051",74,24,50002
"2052",75,24,50002
"2053",76,24,50002
"2054",77,24,50002
"2055",78,24,50002
"2056",80,24,50002
"2057",82,24,50002
"2058",83,24,50002
"2059",84,24,50002
"2060",86,24,50002
"2061",87,24,50002
"2062",88,24,50002
"2063",89,24,50002
"2064",90,24,50002
"2065",91,24,50002
"2066",92,24,50002
"2067",93,24,50002
"2068",94,24,50002
"2069",95,24,50002
"2070",96,24,50002
"2071",97,24,50002
"2072",98,24,50002
"2073",99,24,50002
"2074",0,25,50002
"2075",1,25,50002
"2076",2,25,50002
"2077",3,25,50002
"2078",5,25,50002
"2079",7,25,50002
"2080",8,25,50002
"2081",9,25,50002
"2082",10,25,50002
"2083",11,25,50002
"2084",12,25,50002
"2085",13,25,50002
"2086",14,25,50002
"2087",15,25,50002
"2088",16,25,50002
"2089",19,25,50002
"2090",20,25,50002
"2091",21,25,50002
"2092",22,25,50002
"2093",23,25,50002
"2094",25,25,50002
"2095",26,25,50002
"2096",27,25,50002
"2097",29,25,50002
"2098",30,25,50002
"2099",31,25,50002
"2100",32,25,50002
"2101",33,25,50002
"2102",34,25,50002
"2103",35,25,50002
"2104",36,25,50002
"2105",37,25,50002
"2106",39,25,50002
"2107",40,25,50002
"2108",41,25,50002
"2109",42,25,50002
"2110",43,25,50002
"2111",44,25,50002
"2112",45,25,50002
"2113",46,25,50002
"2114",47,25,50002
"2115",49,25,50002
"2116",50,25,50002
"2117",52,25,50002
"2118",53,25,50002
"2119",54,25,50002
"2120",56,25,50002
"2121",57,25,50002
"2122",58,25,50002
"2123",59,25,50002
"2124",60,25,50002
"2125",61,25,50002
"2126",62,25,50002
"2127",63,25,50002
"2128",64,25,50002
"2129",65,25,50002
"2130",66,25,50002
"2131",68,25,50002
"2132",69,25,50002
"2133",70,25,50002
"2134",71,25,50002
"2135",72,25,50002
"2136",73,25,50002
"2137",74,25,50002
"2138",75,25,50002
"2139",76,25,50002
"2140",77,25,50002
"2141",78,25,50002
"2142",79,25,50002
"2143",80,25,50002
"2144",81,25,50002
"2145",82,25,50002
"2146",83,25,50002
"2147",84,25,50002
"2148",85,25,50002
"2149",86,25,50002
"2150",88,25,50002
"2151",89,25,50002
"2152",90,25,50002
"2153",91,25,50002
"2154",93,25,50002
"2155",94,25,50002
"2156",95,25,50002
"2157",96,25,50002
"2158",97,25,50002
"2159",99,25,50002
"2160",0,26,50002
"2161",1,26,50002
"2162",2,26,50002
"2163",5,26,50002
"2164",6,26,50002
"2165",7,26,50002
"2166",8,26,50002
"2167",9,26,50002
"2168",10,26,50002
"2169",11,26,50002
"2170",12,26,50002
"2171",13,26,50002
"2172",14,26,50002
"2173",15,26,50002
"2174",16,26,50002
"2175",19,26,50002
"2176",20,26,50002
"2177",21,26,50002
"2178",22,26,50002
"2179",23,26,50002
"2180",24,26,50002
"2181",25,26,50002
"2182",26,26,50002
"2183",27,26,50002
"2184",29,26,50002
"2185",30,26,50002
"2186",31,26,50002
"2187",32,26,50002
"2188",33,26,50002
"2189",34,26,50002
"2190",35,26,50002
"2191",36,26,50002
"2192",37,26,50002
"2193",40,26,50002
"2194",42,26,50002
"2195",43,26,50002
"2196",44,26,50002
"2197",45,26,50002
"2198",46,26,50002
"2199",47,26,50002
"2200",48,26,50002
"2201",49,26,50002
"2202",50,26,50002
"2203",51,26,50002
"2204",52,26,50002
"2205",53,26,50002
"2206",54,26,50002
"2207",56,26,50002
"2208",57,26,50002
"2209",58,26,50002
"2210",59,26,50002
"2211",60,26,50002
"2212",61,26,50002
"2213",62,26,50002
"2214",63,26,50002
"2215",64,26,50002
"2216",65,26,50002
"2217",66,26,50002
"2218",68,26,50002
"2219",69,26,50002
"2220",70,26,50002
"2221",71,26,50002
"2222",72,26,50002
"2223",73,26,50002
"2224",74,26,50002
"2225",75,26,50002
"2226",76,26,50002
"2227",78,26,50002
"2228",80,26,50002
"2229",81,26,50002
"2230",82,26,50002
"2231",83,26,50002
"2232",84,26,50002
"2233",85,26,50002
"2234",86,26,50002
"2235",88,26,50002
"2236",89,26,50002
"2237",90,26,50002
"2238",91,26,50002
"2239",92,26,50002
"2240",93,26,50002
"2241",94,26,50002
"2242",95,26,50002
"2243",96,26,50002
"2244",97,26,50002
"2245",98,26,50002
"2246",99,26,50002
"2247",0,27,50002
"2248",1,27,50002
"2249",2,27,50002
"2250",5,27,50002
"2251",7,27,50002
"2252",8,27,50002
"2253",9,27,50002
"2254",10,27,50002
"2255",11,27,50002
"2256",12,27,50002
"2257",13,27,50002
"2258",14,27,50002
"2259",15,27,50002
"2260",16,27,50002
"2261",19,27,50002
"2262",21,27,50002
"2263",22,27,50002
"2264",23,27,50002
"2265",25,27,50002
"2266",26,27,50002
"2267",27,27,50002
"2268",28,27,50002
"2269",29,27,50002
"2270",30,27,50002
"2271",31,27,50002
"2272",32,27,50002
"2273",33,27,50002
"2274",34,27,50002
"2275",35,27,50002
"2276",36,27,50002
"2277",37,27,50002
"2278",38,27,50002
"2279",39,27,50002
"2280",40,27,50002
"2281",42,27,50002
"2282",43,27,50002
"2283",44,27,50002
"2284",45,27,50002
"2285",46,27,50002
"2286",47,27,50002
"2287",48,27,50002
"2288",49,27,50002
"2289",50,27,50002
"2290",52,27,50002
"2291",53,27,50002
"2292",54,27,50002
"2293",56,27,50002
"2294",57,27,50002
"2295",58,27,50002
"2296",59,27,50002
"2297",60,27,50002
"2298",61,27,50002
"2299",62,27,50002
"2300",63,27,50002
"2301",64,27,50002
"2302",65,27,50002
"2303",66,27,50002
"2304",68,27,50002
"2305",69,27,50002
"2306",70,27,50002
"2307",71,27,50002
"2308",72,27,50002
"2309",73,27,50002
"2310",74,27,50002
"2311",75,27,50002
"2312",76,27,50002
"2313",77,27,50002
"2314",78,27,50002
"2315",80,27,50002
"2316",81,27,50002
"2317",82,27,50002
"2318",83,27,50002
"2319",84,27,50002
"2320",86,27,50002
"2321",88,27,50002
"2322",89,27,50002
"2323",90,27,50002
"2324",91,27,50002
"2325",93,27,50002
"2326",94,27,50002
"2327",95,27,50002
"2328",96,27,50002
"2329",97,27,50002
"2330",98,27,50002
"2331",99,27,50002
"2332",0,28,50002
"2333",1,28,50002
"2334",2,28,50002
"2335",3,28,50002
"2336",5,28,50002
"2337",7,28,50002
"2338",8,28,50002
"2339",9,28,50002
"2340",10,28,50002
"2341",11,28,50002
"2342",13,28,50002
"2343",14,28,50002
"2344",15,28,50002
"2345",16,28,50002
"2346",19,28,50002
"2347",20,28,50002
"2348",21,28,50002
"2349",22,28,50002
"2350",23,28,50002
"2351",24,28,50002
"2352",25,28,50002
"2353",26,28,50002
"2354",27,28,50002
"2355",29,28,50002
"2356",30,28,50002
"2357",31,28,50002
"2358",32,28,50002
"2359",33,28,50002
"2360",34,28,50002
"2361",35,28,50002
"2362",36,28,50002
"2363",37,28,50002
"2364",38,28,50002
"2365",39,28,50002
