"rep","mes","tick_extinct"
"6383918",48,20,5602
"6402918",55,20,3602
"6446944",67,20,5502
"6486459",79,20,5602
"6504219",85,20,6202
"6509335",87,20,10502
"6550113",98,20,15402
"6568300",4,21,6702
"6573406",6,21,9502
"6605878",17,21,702
"6605912",18,21,2402
"6610956",20,21,3302
"6634792",27,21,13702
"6741120",55,21,5202
"6763650",61,21,6302
"6785220",67,21,6802
"6822947",79,21,1802
"6841111",85,21,14302
"6841154",86,21,3202
"6841215",87,21,5102
"6851522",90,21,29502
"6854619",92,21,2102
"6887726",4,22,1702
"6931403",17,22,1102
"6959131",28,22,15802
"6987876",38,22,5302
"6987961",39,22,7502
"7028199",51,22,8102
"7040121",55,22,4402
"7045604",57,22,47202
"7084352",67,22,1802
"7113929",79,22,902
"7140458",87,22,4202
"7158736",92,22,1602
"7200436",4,23,24602
"7205475",6,23,2802
"7240183",17,23,3102
"7246366",20,23,7602
"7266825",27,23,22902
"7327587",41,23,46702
"7354038",48,23,8302
"7358370",51,23,4602
"7369739",55,23,4202
"7410069",67,23,2102
"7487274",92,23,3102
"7527600",4,24,4502
"7532708",6,24,9702
"7578747",17,24,2202
"7597679",24,24,3902
"7658334",39,24,11302
"7663680",41,24,33502
"7688555",51,24,12302
"7708878",57,24,12102
"7750570",67,24,14802
"7795512",79,24,8002
"7800585",81,24,6202
"7814133",85,24,2302
"7887752",4,25,2202
"7892787",6,25,2402
"7916987",17,25,2202
"7917144",18,25,14702
"7936675",24,25,2102
"7947987",28,25,14402
"7986953",38,25,7502
"8017369",48,25,9602
"8027455",51,25,7402
"8038043",55,25,502
"8078224",67,25,7002
"8153436",87,25,9902
"8169824",92,25,2102
"8187786",98,25,45802
"8205703",3,26,9402
"8205743",4,26,3002
"8246237",17,26,2602
"8246304",18,26,5702
"8268503",28,26,5402
"8311365",38,26,10502
"8311547",39,26,17202
"8316759",41,26,20102
"8355520",55,26,4102
"8407607",67,26,502
"8448764",77,26,6802
"8453873",79,26,9802
"8479553",87,26,1602
"8538748",3,27,7302
"8538774",4,27,1602
"8543832",6,27,4702
"8577877",17,27,4602
"8578236",18,27,34902
"8582589",20,27,3202
"8589162",24,27,18402
"8655578",41,27,26402
"8684518",51,27,10202
"8697433",55,27,2702
"8745325",67,27,3102
"8793416",79,27,3302
"8805580",85,27,8102
"8809291",87,27,2802
"8824620",92,27,402
"8858200",4,28,3102
"8862545",6,28,5102
"8882132",12,28,38802
"8896797",17,28,1102
"8896904",18,28,9602
"8925395",28,28,44602
"8970805",41,28,43202
"9009579",51,28,9802
"9013243",55,28,3902
"9032158",61,28,14702
"9051294",67,28,5902
"9098832",79,28,7402
"9116164",85,28,6402
"9141483",92,28,3402
"9174638",3,29,5902
"9180650",6,29,6402
"9216593",17,29,7302
"9237967",24,29,17202
"9272084",38,29,7802
"9323268",55,29,7202
"9328371",57,29,9202
"9361687",67,29,3802
"9400888",79,29,3402
"9423080",85,29,1502
"9428133",87,29,4202
"9444163",92,29,502
"9495602",4,30,17702
"9500680",6,30,6702
"9534498",17,30,7202
"9544638",20,30,12802
"9612330",38,30,8602
"9612447",39,30,10702
"9617817",41,30,35902
"9650017",51,30,2402
"9655565",54,30,33902
"9655637",55,30,6202
"9657063",57,30,33302
"9694187",67,30,4202
"9733050",79,30,1202
"9750233",85,30,8502
"9750331",86,30,8802
"9750421",87,30,8002
"9763266",92,30,2602
"9801127",4,31,24102
"9802009",6,31,11802
"9840524",17,31,2002
"9840657",18,31,12302
"9845840",20,31,38702
"9911395",38,31,4302
"9911905",39,31,50002
"9968625",55,31,3202
"10008421",67,31,3902
"10050853",79,31,2802
"10051533",81,31,20602
"10066550",86,31,12102
"10066720",87,31,16002
"10080460",92,31,702
"10127014",4,32,22702
"10174938",17,32,1702
"10181794",20,32,23902
"10193744",24,32,9002
"10253047",41,32,37602
"10284540",51,32,7502
"10295064",55,32,1102
"10344718",67,32,4402
"10400016",81,32,7402
"10407817",85,32,5102
"10410447",87,32,1702
"10424251",92,32,1002
"10464884",4,33,6002
"10509479",17,33,2502
"10509579",18,33,9002
"10530885",24,33,16502
"10618814",51,33,7102
"10629562",55,33,902
"10677290",67,33,6402
"10714817",77,33,20802
"10719874",79,33,4602
"10738592",85,33,1402
"10738669",86,33,6702
"10746617",89,33,11902
"10750084",92,33,6302
"10792774",4,34,2102
"10797812",6,34,2702
"10822569",17,34,1702
